Date;Close;Index
2020-06-22;12262969727;DAX
2020-06-23;12523759766;DAX
2020-06-24;12093940430;DAX
2020-06-25;12177870117;DAX
2020-06-26;12089389648;DAX
2020-06-29;12232120117;DAX
2020-06-30;12310929688;DAX
2020-07-01;12260570313;DAX
2020-07-02;12608459961;DAX
2020-07-03;12528179688;DAX
2020-07-06;12733450195;DAX
2020-07-07;12616799805;DAX
2020-07-08;12494809570;DAX
2020-07-09;12489459961;DAX
2020-07-10;12633709961;DAX
2020-07-13;12799969727;DAX
2020-07-14;12697360352;DAX
2020-07-15;12930980469;DAX
2020-07-16;12874969727;DAX
2020-07-17;12919610352;DAX
2020-07-20;13046919922;DAX
2020-07-21;13171830078;DAX
2020-07-22;13104250000;DAX
2020-07-23;13103389648;DAX
2020-07-24;12838059570;DAX
2020-07-27;12838660156;DAX
2020-07-28;12835280273;DAX
2020-07-29;12822259766;DAX
2020-07-30;12379650391;DAX
2020-07-31;12313360352;DAX
2020-08-03;12646980469;DAX
2020-08-04;12600870117;DAX
2020-08-05;12660250000;DAX
2020-08-06;12591679688;DAX
2020-08-07;12674879883;DAX
2020-08-10;12687530273;DAX
2020-08-11;12946889648;DAX
2020-08-12;13058629883;DAX
2020-08-13;12993709961;DAX
2020-08-14;12901339844;DAX
2020-08-17;12920660156;DAX
2020-08-18;12881759766;DAX
2020-08-19;12977330078;DAX
2020-08-20;12830000000;DAX
2020-08-21;12764799805;DAX
2020-08-24;13066540039;DAX
2020-08-25;13061620117;DAX
2020-08-26;13190150391;DAX
2020-08-27;13096360352;DAX
2020-08-28;13033200195;DAX
2020-08-31;12945379883;DAX
2020-09-01;12974250000;DAX
2020-09-02;13243429688;DAX
2020-09-03;13057769531;DAX
2020-09-04;12842660156;DAX
2020-09-07;13100280273;DAX
2020-09-08;12968330078;DAX
2020-09-09;13237209961;DAX
2020-09-10;13208889648;DAX
2020-09-11;13202839844;DAX
2020-09-14;13193660156;DAX
2020-09-15;13217669922;DAX
2020-09-16;13255370117;DAX
2020-09-17;13208120117;DAX
2020-09-18;13116250000;DAX
2020-09-21;12542440430;DAX
2020-09-22;12594389648;DAX
2020-09-23;12642969727;DAX
2020-09-24;12606570313;DAX
2020-09-25;12469200195;DAX
2020-09-28;12870870117;DAX
2020-09-29;12825820313;DAX
2020-09-30;12760730469;DAX
2020-10-01;12730769531;DAX
2020-10-02;12689040039;DAX
2020-10-05;12828309570;DAX
2020-10-06;12906019531;DAX
2020-10-07;12928570313;DAX
2020-10-08;13042209961;DAX
2020-10-09;13051230469;DAX
2020-10-12;13138410156;DAX
2020-10-13;13018990234;DAX
2020-10-14;13028059570;DAX
2020-10-15;12703750000;DAX
2020-10-16;12908990234;DAX
2020-10-19;12854660156;DAX
2020-10-20;12736950195;DAX
2020-10-21;12557639648;DAX
2020-10-22;12543059570;DAX
2020-10-23;12645750000;DAX
2020-10-26;12177179688;DAX
2020-10-27;12063570313;DAX
2020-10-28;11560509766;DAX
2020-10-29;11598070313;DAX
2020-10-30;11556480469;DAX
2020-11-02;11788280273;DAX
2020-11-03;12088980469;DAX
2020-11-04;12324219727;DAX
2020-11-05;12568089844;DAX
2020-11-06;12480019531;DAX
2020-11-09;13095969727;DAX
2020-11-10;13163110352;DAX
2020-11-11;13216179688;DAX
2020-11-12;13052950195;DAX
2020-11-13;13076719727;DAX
2020-11-16;13138610352;DAX
2020-11-17;13133469727;DAX
2020-11-18;13201889648;DAX
2020-11-19;13086160156;DAX
2020-11-20;13137250000;DAX
2020-11-23;13126969727;DAX
2020-11-24;13292440430;DAX
2020-11-25;13289799805;DAX
2020-11-26;13286570313;DAX
2020-11-27;13335679688;DAX
2020-11-30;13291160156;DAX
2020-12-01;13382299805;DAX
2020-12-02;13313240234;DAX
2020-12-03;13252860352;DAX
2020-12-04;13298959961;DAX
2020-12-07;13271000000;DAX
2020-12-08;13278490234;DAX
2020-12-09;13340259766;DAX
2020-12-10;13295730469;DAX
2020-12-11;13114299805;DAX
2020-12-14;13223160156;DAX
2020-12-15;13362870117;DAX
2020-12-16;13565980469;DAX
2020-12-17;13667250000;DAX
2020-12-18;13630509766;DAX
