"","Date","NumberofCompanyBirths","Bundesland"
"245",2020-05-01,309,"Bremen"
"246",2020-06-01,388,"Bremen"
"247",2020-07-01,362,"Bremen"
"248",2020-08-01,392,"Bremen"
"249",2020-09-01,587,"Bremen"
"250",2020-10-01,486,"Bremen"
"251",2020-11-01,731,"Bremen"
"253",2020-01-01,1524,"Hamburg"
"254",2020-02-01,1836,"Hamburg"
"255",2020-03-01,1335,"Hamburg"
"256",2020-04-01,1107,"Hamburg"
"257",2020-05-01,1292,"Hamburg"
"258",2020-06-01,1408,"Hamburg"
"259",2020-07-01,1627,"Hamburg"
"260",2020-08-01,1397,"Hamburg"
"261",2020-09-01,1630,"Hamburg"
"262",2020-10-01,1713,"Hamburg"
"263",2020-11-01,1539,"Hamburg"
"265",2020-01-01,6735,"Hessen"
"266",2020-02-01,5023,"Hessen"
"267",2020-03-01,3789,"Hessen"
"268",2020-04-01,3258,"Hessen"
"269",2020-05-01,3964,"Hessen"
"270",2020-06-01,4714,"Hessen"
"271",2020-07-01,4942,"Hessen"
"272",2020-08-01,4769,"Hessen"
"273",2020-09-01,5318,"Hessen"
"274",2020-10-01,5160,"Hessen"
"275",2020-11-01,4632,"Hessen"
"277",2020-01-01,1146,"Mecklenburg-Vorpommern"
"278",2020-02-01,680,"Mecklenburg-Vorpommern"
"279",2020-03-01,721,"Mecklenburg-Vorpommern"
"280",2020-04-01,624,"Mecklenburg-Vorpommern"
"281",2020-05-01,718,"Mecklenburg-Vorpommern"
"282",2020-06-01,930,"Mecklenburg-Vorpommern"
"283",2020-07-01,835,"Mecklenburg-Vorpommern"
"284",2020-08-01,692,"Mecklenburg-Vorpommern"
"285",2020-09-01,824,"Mecklenburg-Vorpommern"
"286",2020-10-01,715,"Mecklenburg-Vorpommern"
"287",2020-11-01,681,"Mecklenburg-Vorpommern"
"289",2020-01-01,6708,"Niedersachsen"
"290",2020-02-01,5327,"Niedersachsen"
"291",2020-03-01,3906,"Niedersachsen"
"292",2020-04-01,3398,"Niedersachsen"
"293",2020-05-01,4591,"Niedersachsen"
"294",2020-06-01,5146,"Niedersachsen"
"295",2020-07-01,5725,"Niedersachsen"
"296",2020-08-01,4480,"Niedersachsen"
"297",2020-09-01,5381,"Niedersachsen"
"298",2020-10-01,5287,"Niedersachsen"
"299",2020-11-01,5181,"Niedersachsen"
"301",2020-01-01,16417,"Nordrhein-Westfalen"
"302",2020-02-01,12221,"Nordrhein-Westfalen"
"303",2020-03-01,10000,"Nordrhein-Westfalen"
"304",2020-04-01,8031,"Nordrhein-Westfalen"
"305",2020-05-01,9728,"Nordrhein-Westfalen"
"306",2020-06-01,11459,"Nordrhein-Westfalen"
"307",2020-07-01,12287,"Nordrhein-Westfalen"
"308",2020-08-01,11896,"Nordrhein-Westfalen"
"309",2020-09-01,12590,"Nordrhein-Westfalen"
"310",2020-10-01,11607,"Nordrhein-Westfalen"
"311",2020-11-01,11227,"Nordrhein-Westfalen"
"313",2020-01-01,3448,"Rheinland-Pfalz"
"314",2020-02-01,2668,"Rheinland-Pfalz"
"315",2020-03-01,2146,"Rheinland-Pfalz"
"316",2020-04-01,1734,"Rheinland-Pfalz"
"317",2020-05-01,2415,"Rheinland-Pfalz"
"318",2020-06-01,2801,"Rheinland-Pfalz"
"319",2020-07-01,2948,"Rheinland-Pfalz"
"320",2020-08-01,2570,"Rheinland-Pfalz"
"321",2020-09-01,2888,"Rheinland-Pfalz"
"322",2020-10-01,2688,"Rheinland-Pfalz"
"323",2020-11-01,2573,"Rheinland-Pfalz"
"325",2020-01-01,856,"Saarland"
"326",2020-02-01,561,"Saarland"
"327",2020-03-01,440,"Saarland"
"328",2020-04-01,383,"Saarland"
"329",2020-05-01,543,"Saarland"
"330",2020-06-01,590,"Saarland"
"331",2020-07-01,608,"Saarland"
"332",2020-08-01,634,"Saarland"
"333",2020-09-01,644,"Saarland"
"334",2020-10-01,632,"Saarland"
"335",2020-11-01,534,"Saarland"
"337",2020-01-01,2913,"Sachsen"
"338",2020-02-01,2279,"Sachsen"
"339",2020-03-01,1974,"Sachsen"
"340",2020-04-01,1748,"Sachsen"
"341",2020-05-01,1762,"Sachsen"
"342",2020-06-01,2256,"Sachsen"
"343",2020-07-01,2323,"Sachsen"
"344",2020-08-01,1965,"Sachsen"
"345",2020-09-01,2082,"Sachsen"
"346",2020-10-01,1775,"Sachsen"
"347",2020-11-01,2505,"Sachsen"
"349",2020-01-01,1181,"Sachsen-Anhalt"
"350",2020-02-01,847,"Sachsen-Anhalt"
"351",2020-03-01,703,"Sachsen-Anhalt"
"352",2020-04-01,491,"Sachsen-Anhalt"
"353",2020-05-01,701,"Sachsen-Anhalt"
"354",2020-06-01,864,"Sachsen-Anhalt"
"355",2020-07-01,859,"Sachsen-Anhalt"
"356",2020-08-01,747,"Sachsen-Anhalt"
"357",2020-09-01,845,"Sachsen-Anhalt"
"358",2020-10-01,970,"Sachsen-Anhalt"
"359",2020-11-01,775,"Sachsen-Anhalt"
"361",2020-01-01,2688,"Schleswig-Holstein"
"362",2020-02-01,2223,"Schleswig-Holstein"
"363",2020-03-01,1563,"Schleswig-Holstein"
"364",2020-04-01,1301,"Schleswig-Holstein"
"365",2020-05-01,1921,"Schleswig-Holstein"
"366",2020-06-01,2245,"Schleswig-Holstein"
"367",2020-07-01,2367,"Schleswig-Holstein"
"368",2020-08-01,2167,"Schleswig-Holstein"
"369",2020-09-01,2239,"Schleswig-Holstein"
"370",2020-10-01,2248,"Schleswig-Holstein"
"371",2020-11-01,2107,"Schleswig-Holstein"
"373",2020-01-01,1192,"Thüringen"
"374",2020-02-01,961,"Thüringen"
"375",2020-03-01,785,"Thüringen"
"376",2020-04-01,630,"Thüringen"
"377",2020-05-01,719,"Thüringen"
"378",2020-06-01,879,"Thüringen"
"379",2020-07-01,866,"Thüringen"
"380",2020-08-01,801,"Thüringen"
"381",2020-09-01,885,"Thüringen"
"382",2020-10-01,908,"Thüringen"
"383",2020-11-01,926,"Thüringen"
"384",2020-12-01,0,"Thüringen"
